   Data source: Cometa - EmgTools - 2.1.4 - Files: 0956~... - collection; EMG filter: 0 - 500 Hz     - 
Time(s)  ; L.RecFem(uV) ; L.VasLat(uV) ; L.VasMedO(uV) ; L.VasMedV(uV) 
  0.3090;  14.5126;  14.9723;   6.2776;  30.1682;
  0.3100;  13.1986;  11.5766;   6.0727;  29.7884;
  0.3110;  12.6193;  12.1475;   6.3949;  30.1157;
  0.3120;  12.6439;  13.4091;   6.7554;  31.7679;
  0.3130;  12.1808;  14.9215;   5.7974;  30.4540;
  0.3140;  11.1913;  14.8952;   6.2029;  29.2954;
  0.3150;  10.8889;  14.7297;   7.9288;  30.6799;
  0.3160;  11.2817;  16.9081;   7.3170;  31.1050;
  0.3170;  11.4787;  19.3051;   6.8637;  31.0783;
  0.3180;  12.2000;  19.5451;   7.7728;  32.3049;
  0.3190;  12.9655;  18.3116;   7.0159;  32.7396;
  0.3200;  12.9809;  18.8227;   6.7589;  33.1135;
  0.3210;  12.1166;  17.3978;   7.4373;  32.4874;
  0.3220;  11.9326;  15.3063;   7.1300;  31.0085;
  0.3230;  13.5025;  15.9652;   7.6015;  32.2960;
  0.3240;  13.4174;  12.2544;   7.9407;  32.7181;
  0.3250;  13.8403;  16.1646;  10.3423;  31.9299;
  0.3260;  15.3658;  33.6195;  15.4714;  32.4338;
  0.3270;  12.9141;  43.3706;  14.8610;  31.3912;
  0.3280;  10.8749;  42.7289;   9.0941;  30.7482;
  0.3290;  10.6957;  37.1024;   4.1519;  30.4297;
  0.3300;   9.3928;  27.1234;   0.1062;  29.0331;
  0.3310;   7.2401;  16.4350;  -0.8764;  29.7083;
  0.3320;   4.1254;   5.6586;   3.1945;  30.9958;
  0.3330;   4.3385;  -0.9848;   7.2421;  31.5791;
  0.3340;   5.0575;  -8.1024;   6.7285;  31.4539;
  0.3350;   5.0437; -14.8664;   6.5525;  30.0529;
  0.3360;   9.0606; -10.2717;   7.1740;  29.0034;
  0.3370;   9.5151;  -1.4582;   5.6304;  28.9438;
  0.3380;   8.2513;   6.2100;   7.0449;  30.7264;
  0.3390;  10.3288;  11.0595;   8.0415;  31.8316;
  0.3400;  10.0601;  11.0272;   6.4577;  30.6742;
  0.3410;  11.1237;  12.5633;   7.8256;  31.3215;
  0.3420;  12.7958;  14.0110;   8.4121;  32.0508;
  0.3430;  12.1008;  15.6906;   8.2354;  31.6635;
  0.3440;  13.2649;  17.4924;   9.1318;  32.2073;
  0.3450;  14.2020;  15.7271;   9.2551;  31.5400;
  0.3460;  14.3647;  15.9314;   9.6455;  31.4413;
  0.3470;  13.8010;  16.2539;   8.4972;  32.5772;
  0.3480;  11.7823;  16.4532;   8.0559;  31.6735;
  0.3490;  11.4960;  18.2433;   9.2762;  30.3228;
  0.3500;  11.6727;  15.4148;   8.8506;  29.5815;
  0.3510;  10.9066;  14.3618;   8.4199;  29.8646;
  0.3520;  11.6444;  17.7458;   8.2636;  31.5442;
  0.3530;  13.2785;  16.9818;   8.5066;  32.0948;
  0.3540;  12.5120;  15.5612;   7.6157;  31.9047;
  0.3550;  11.9710;  17.7603;   6.6428;  31.9842;
  0.3560;  15.0881;  18.1901;   8.7812;  32.4398;
  0.3570;  17.8758;  17.0755;   8.7283;  33.5624;
  0.3580;  19.0860;  18.8478;   7.9354;  33.4739;
  0.3590;  19.1811;  19.3416;   8.3622;  33.1355;
  0.3600;  18.6362;  18.6457;   6.4496;  33.1311;
  0.3610;  19.6700;  19.8068;   6.3019;  32.3611;
  0.3620;  19.6759;  17.5238;   7.0040;  33.9416;
  0.3630;  19.1239;  15.0729;   6.8012;  37.3951;
  0.3640;  19.2392;  16.2614;   7.3306;  39.5099;
  0.3650;  18.0337;  16.8931;   7.2596;  40.1059;
